order_id,order_date,category,product_name,region,sales_channel,customer_segment,payment_method,unit_price,quantity,discount_pct,revenue,units_returned,customer_rating,delivery_days
27,2025-02-08,Home & Garden,Curtains,Latin America,Marketplace,New,Credit Card,1417.85,5,0,7089.25,0,3.3,3
28,2025-07-03,Toys,Board Game,North America,Mobile App,Premium,Credit Card,319.06,8,0,2552.48,0,3.2,14
29,2025-07-31,Toys,RC Car,Europe,In-Store,Returning,PayPal,42.06,11,20,370.13,0,4.5,13
30,2025-08-29,Sports,Running Shoes,Europe,Online,Churned,Credit Card,337.54,15,15,4303.64,0,4.2,4
31,2025-02-05,Sports,Yoga Mat,Europe,Marketplace,Premium,Bank Transfer,1450.5,9,15,11096.32,0,2.6,14
32,2025-05-16,Beauty,Moisturizer,North America,Mobile App,Returning,Buy Now Pay Later,62.19,20,20,995.04,0,4.1,7
33,2025-12-29,Clothing,Jacket,Middle East,In-Store,Premium,Credit Card,656.91,17,5,10609.1,0,1.3,11
34,2025-06-08,Beauty,Mascara,Asia Pacific,Online,Premium,Buy Now Pay Later,1002.0,11,20,8817.6,0,3.2,4
35,2025-10-08,Toys,Doll,Latin America,In-Store,Premium,Crypto,1251.42,10,10,11262.78,0,4.1,10
36,2025-08-31,Beauty,Serum,Latin America,Marketplace,Returning,Buy Now Pay Later,1191.63,6,0,7149.78,0,3.7,10
37,2025-03-17,Beauty,Moisturizer,Europe,Mobile App,Returning,PayPal,41.52,8,25,249.12,0,4.1,8
38,2025-07-24,Toys,Doll,Middle East,In-Store,Churned,Crypto,369.76,1,0,369.76,0,1.9,13
39,2025-03-10,Automotive,Car Mat,Middle East,In-Store,New,Crypto,1203.12,17,15,17385.08,0,4.6,10
40,2025-05-13,Toys,RC Car,Latin America,In-Store,Churned,Crypto,1128.91,9,25,7620.14,0,2.1,2
41,2025-02-11,Books,Self-Help Book,Asia Pacific,Mobile App,Premium,Buy Now Pay Later,211.87,8,20,1355.97,0,3.8,2
42,2025-04-16,Toys,Puzzle,Asia Pacific,Marketplace,Churned,Credit Card,1250.17,13,0,16252.21,0,4.1,7
43,2025-10-03,Automotive,Car Mat,Asia Pacific,Mobile App,Churned,Crypto,1122.54,18,5,19195.43,0,2.1,8
44,2025-03-07,Electronics,Headphones,Asia Pacific,Marketplace,Returning,Crypto,1471.18,18,0,26481.24,0,3.4,11
45,2025-01-26,Electronics,Laptop,Latin America,In-Store,Churned,PayPal,393.93,11,5,4116.57,0,2.4,7
46,2025-10-04,Books,Cookbook,Asia Pacific,Online,Churned,Credit Card,82.87,12,5,944.72,0,4.1,11
47,2025-03-20,Electronics,Laptop,Europe,In-Store,New,Buy Now Pay Later,361.62,16,0,5785.92,0,1.9,12
48,2025-02-25,Books,Textbook,Europe,Online,Returning,Bank Transfer,870.13,10,20,6961.04,0,3.9,2
49,2025-09-30,Sports,Yoga Mat,Asia Pacific,Online,New,Bank Transfer,645.43,12,0,7745.16,0,2.4,14
50,2025-12-29,Toys,Puzzle,North America,Marketplace,Premium,Crypto,233.72,6,10,1262.09,0,4.7,13
51,2025-02-14,Automotive,Phone Mount,Latin America,Mobile App,Premium,PayPal,422.0,15,5,6013.5,0,3.3,11
52,2025-09-07,Toys,Action Figure,North America,Marketplace,Premium,PayPal,322.12,9,15,2464.22,0,3.4,5
53,2025-09-08,Electronics,Smart Watch,Europe,Online,Returning,Crypto,834.99,8,25,5009.94,0,3.0,13
54,2025-06-06,Electronics,Laptop,Asia Pacific,In-Store,Churned,PayPal,997.62,12,25,8978.58,0,2.4,12
55,2025-04-29,Beauty,Perfume,Latin America,Mobile App,Premium,Bank Transfer,185.38,7,15,1103.01,0,3.1,13
56,2025-09-26,Home & Garden,Lamp,Europe,Marketplace,Premium,Buy Now Pay Later,897.2,4,5,3409.36,0,2.4,5
57,2025-01-28,Electronics,Camera,Middle East,In-Store,Premium,Credit Card,832.27,5,25,3121.01,0,1.0,5
58,2025-05-10,Automotive,Phone Mount,Latin America,Mobile App,Returning,Credit Card,1411.89,16,0,22590.24,0,2.6,2
59,2025-03-02,Electronics,Smartphone,Europe,Mobile App,New,PayPal,839.32,14,5,11162.96,0,2.5,8
60,2025-02-20,Books,Biography,Latin America,Mobile App,New,Buy Now Pay Later,1421.65,7,5,9453.97,0,1.3,4
61,2025-08-19,Home & Garden,Mattress,North America,In-Store,New,Crypto,1035.61,16,10,14912.78,9,3.8,12
62,2025-02-28,Automotive,Car Mat,Europe,Mobile App,Returning,Crypto,819.12,5,10,3686.04,0,1.3,3
63,2025-08-28,Books,Biography,Middle East,Mobile App,Churned,Credit Card,1034.57,13,10,12104.47,0,3.0,2
64,2025-04-28,Electronics,Headphones,Asia Pacific,Mobile App,New,Credit Card,1443.06,19,0,27418.14,0,3.7,5
65,2025-10-27,Electronics,Smartphone,Latin America,Marketplace,Premium,PayPal,656.65,16,0,10506.4,0,2.6,6
66,2025-12-06,Clothing,Jeans,Asia Pacific,Marketplace,Churned,Bank Transfer,1418.06,18,0,25525.08,0,2.3,6
67,2025-01-28,Clothing,Jacket,Middle East,Online,Churned,Crypto,285.44,12,25,2568.96,0,4.0,4
68,2025-03-04,Books,Biography,Europe,Mobile App,Churned,Crypto,48.16,20,5,915.04,0,2.2,1
69,2025-11-28,Toys,LEGO Set,Europe,Online,Churned,Credit Card,1249.05,16,10,17986.32,0,2.1,14
70,2025-04-08,Automotive,Phone Mount,Europe,Marketplace,Returning,Crypto,1383.19,17,0,23514.23,0,2.1,13
71,2025-06-02,Toys,Action Figure,Middle East,Mobile App,New,Bank Transfer,1257.03,19,25,17912.68,0,2.8,8
72,2025-04-07,Beauty,Perfume,Middle East,Marketplace,Churned,Bank Transfer,1471.26,8,20,9416.06,0,4.1,1
73,2025-09-11,Beauty,Foundation,Latin America,Marketplace,Churned,PayPal,1447.41,5,15,6151.49,0,4.5,8
74,2025-12-02,Clothing,Sneakers,Latin America,Online,Returning,Crypto,1455.09,3,25,3273.95,0,2.1,10
75,2025-11-17,Toys,Doll,North America,Mobile App,Churned,Bank Transfer,1079.48,16,0,17271.68,0,1.9,11
76,2025-08-16,Books,Self-Help Book,North America,Marketplace,New,Credit Card,253.72,10,0,2537.2,0,2.2,6
77,2025-03-31,Toys,Board Game,Europe,Marketplace,Returning,PayPal,123.06,13,5,1519.79,0,3.3,4
78,2025-08-27,Automotive,Air Freshener,Asia Pacific,Marketplace,Premium,Credit Card,1352.31,18,0,24341.58,11,5.0,5
79,2025-07-16,Toys,Doll,Asia Pacific,Marketplace,Premium,PayPal,1280.74,4,5,4866.81,0,2.4,5
80,2025-12-18,Books,Fiction Novel,Latin America,Mobile App,New,Buy Now Pay Later,1168.58,2,25,1752.87,0,4.6,13
81,2025-05-09,Sports,Tennis Racket,Asia Pacific,In-Store,Returning,Buy Now Pay Later,1018.26,5,0,5091.3,0,3.6,5
82,2025-06-01,Automotive,Car Mat,Middle East,Mobile App,Returning,Credit Card,493.45,14,0,6908.3,0,4.1,6
83,2025-02-28,Books,Self-Help Book,Asia Pacific,Marketplace,Premium,Bank Transfer,705.16,3,0,2115.48,0,1.9,11
84,2025-05-16,Toys,RC Car,Asia Pacific,Online,Churned,Credit Card,807.18,15,15,10291.54,0,3.7,10
85,2025-01-13,Toys,Doll,Asia Pacific,Online,Returning,Crypto,931.22,18,15,14247.67,0,1.9,2
86,2025-01-24,Automotive,Air Freshener,Asia Pacific,Marketplace,New,PayPal,1419.66,10,25,10647.45,0,1.9,9
87,2025-03-21,Home & Garden,Blender,Latin America,Mobile App,Churned,Buy Now Pay Later,1328.69,4,25,3986.07,0,4.8,5
88,2025-05-01,Electronics,Camera,Asia Pacific,In-Store,Churned,Crypto,1283.9,4,15,4365.26,0,4.9,6
89,2025-02-16,Electronics,Headphones,Asia Pacific,In-Store,New,Crypto,995.84,20,0,19916.8,10,2.0,3
90,2025-06-18,Sports,Yoga Mat,Middle East,In-Store,Returning,PayPal,1162.68,20,0,23253.6,0,4.9,3
91,2025-07-03,Books,Self-Help Book,North America,Online,Returning,Credit Card,1186.03,8,15,8065.0,4,1.2,12
92,2025-07-05,Toys,RC Car,North America,Online,Churned,Crypto,772.29,4,25,2316.87,0,4.8,1
93,2025-08-07,Books,Cookbook,North America,Online,Churned,Crypto,1030.72,16,25,12368.64,2,2.3,3
94,2025-09-29,Clothing,Jeans,Asia Pacific,Mobile App,Churned,Buy Now Pay Later,445.87,17,20,6063.83,3,4.4,11
95,2025-08-21,Sports,Bicycle,Latin America,In-Store,Churned,Bank Transfer,601.1,4,15,2043.74,0,3.7,6
96,2025-02-17,Home & Garden,Curtains,Latin America,Online,New,Credit Card,650.66,12,0,7807.92,0,3.3,9
97,2025-01-27,Beauty,Foundation,North America,Marketplace,Premium,Crypto,1452.76,20,10,26149.68,0,3.3,4
98,2025-10-12,Home & Garden,Curtains,Latin America,In-Store,New,Bank Transfer,554.5,9,5,4740.97,0,4.4,13
99,2025-12-26,Electronics,Smart Watch,Asia Pacific,Online,Returning,Bank Transfer,1144.8,11,15,10703.88,2,3.3,7
100,2025-08-03,Clothing,Jeans,North America,Online,Returning,Crypto,683.2,6,15,3484.32,0,2.3,10
101,2025-05-20,Clothing,T-Shirt,Europe,In-Store,New,Credit Card,667.45,14,25,7008.23,0,2.7,4
102,2025-09-07,Clothing,Dress,Latin America,Online,Premium,Buy Now Pay Later,792.77,10,0,7927.7,0,4.9,1
103,2025-05-29,Electronics,Smartphone,Asia Pacific,In-Store,Returning,Bank Transfer,495.54,1,25,371.66,0,1.7,7
104,2025-01-22,Sports,Tennis Racket,Middle East,Mobile App,New,Crypto,657.15,15,0,9857.25,0,3.3,10
105,2025-01-11,Toys,Doll,Latin America,Mobile App,New,Crypto,1449.47,6,25,6522.61,0,4.7,2
106,2025-02-10,Toys,LEGO Set,Europe,Marketplace,Churned,Buy Now Pay Later,596.67,10,15,5071.69,0,4.1,2
107,2025-11-27,Clothing,Sneakers,Middle East,In-Store,Premium,Bank Transfer,1223.48,8,0,9787.84,0,1.8,10
108,2025-10-16,Home & Garden,Curtains,North America,In-Store,Churned,Crypto,1141.02,15,15,14548.0,0,3.5,3
109,2025-10-30,Automotive,Car Mat,Latin America,Marketplace,Premium,Bank Transfer,88.98,17,0,1512.66,0,2.8,1
110,2025-10-25,Beauty,Perfume,North America,Online,Churned,Crypto,833.7,2,25,1250.55,0,3.3,4
111,2025-02-22,Beauty,Mascara,Latin America,In-Store,New,Crypto,1217.4,11,0,13391.4,0,1.7,4
112,2025-05-25,Automotive,Phone Mount,Middle East,In-Store,Premium,Bank Transfer,584.19,11,0,6426.09,0,3.6,2
113,2025-12-03,Beauty,Moisturizer,Middle East,Marketplace,Premium,Bank Transfer,1446.79,20,0,28935.8,0,3.3,3
114,2025-10-14,Beauty,Perfume,Latin America,In-Store,New,Bank Transfer,568.14,11,0,6249.54,0,4.3,12
115,2025-06-08,Clothing,Suit,Latin America,Mobile App,New,Bank Transfer,274.49,7,15,1633.22,0,2.9,4
116,2025-10-04,Home & Garden,Lamp,North America,Mobile App,New,Buy Now Pay Later,1253.5,17,0,21309.5,0,4.5,10
117,2025-12-21,Home & Garden,Mattress,Latin America,In-Store,Returning,PayPal,1157.79,6,25,5210.06,2,3.7,4
118,2025-05-03,Automotive,Seat Cover,Asia Pacific,Marketplace,Returning,Buy Now Pay Later,467.65,16,5,7108.28,0,4.8,8
119,2025-11-06,Automotive,Jump Starter,Latin America,Marketplace,Returning,PayPal,211.91,9,0,1907.19,0,4.5,9
120,2025-03-24,Clothing,Suit,Middle East,Online,Premium,Credit Card,412.82,17,0,7017.94,0,1.4,4
121,2025-09-15,Automotive,Jump Starter,North America,Marketplace,New,Crypto,564.07,13,0,7332.91,0,1.1,2
122,2025-12-23,Beauty,Lipstick,Europe,Online,Premium,Crypto,1247.51,16,25,14970.12,0,4.6,1
123,2025-05-02,Books,Self-Help Book,Europe,Marketplace,New,Bank Transfer,455.22,2,5,864.92,0,4.2,8
124,2025-05-30,Clothing,T-Shirt,Latin America,Online,Returning,PayPal,646.71,20,15,10994.07,0,2.7,11
125,2025-08-29,Clothing,Sneakers,Asia Pacific,Online,New,Crypto,70.08,13,15,774.38,0,1.1,13
126,2025-01-23,Clothing,Dress,Europe,Online,Premium,PayPal,531.69,11,0,5848.59,0,3.7,12
127,2025-01-19,Automotive,Air Freshener,Europe,In-Store,New,Crypto,443.7,2,5,843.03,0,2.3,5
128,2025-05-27,Toys,RC Car,Latin America,Mobile App,New,PayPal,538.68,2,15,915.76,0,4.2,7
129,2025-09-12,Toys,Doll,Latin America,Marketplace,Premium,PayPal,1039.64,12,10,11228.11,0,3.9,2
130,2025-02-10,Toys,RC Car,Europe,Mobile App,Premium,Credit Card,495.24,10,10,4457.16,0,3.9,3
131,2025-08-11,Automotive,Jump Starter,Latin America,Online,Premium,Buy Now Pay Later,415.46,2,0,830.92,0,2.6,9
132,2025-02-04,Home & Garden,Sofa,Europe,Marketplace,New,PayPal,357.81,12,15,3649.66,0,3.3,10
133,2025-02-09,Home & Garden,Curtains,Latin America,Mobile App,Premium,Crypto,863.01,17,15,12470.49,0,3.6,4
134,2025-03-02,Clothing,T-Shirt,Europe,Marketplace,Churned,Buy Now Pay Later,396.36,9,25,2675.43,0,3.4,12
135,2025-03-30,Automotive,Dash Cam,North America,In-Store,New,Crypto,1348.53,15,0,20227.95,0,4.9,6
136,2025-12-31,Beauty,Foundation,North America,Mobile App,Premium,PayPal,1065.8,6,15,5435.58,0,1.5,4
137,2025-10-21,Home & Garden,Lamp,Latin America,Online,Premium,Buy Now Pay Later,556.52,18,0,10017.36,0,1.3,5
138,2025-02-07,Toys,Doll,Latin America,Marketplace,Churned,Buy Now Pay Later,192.36,11,0,2115.96,0,3.7,6
139,2025-09-15,Home & Garden,Mattress,Middle East,In-Store,Returning,Crypto,1366.51,2,0,2733.02,0,2.2,3
140,2025-05-09,Beauty,Foundation,Europe,Mobile App,Premium,Credit Card,298.47,18,10,4835.21,0,2.2,9
141,2025-11-06,Clothing,Sneakers,Europe,In-Store,Returning,Buy Now Pay Later,509.74,19,0,9685.06,0,1.1,1
142,2025-11-18,Books,Comic Book,Europe,Marketplace,New,Crypto,820.64,10,25,6154.8,0,4.2,7
143,2025-08-01,Books,Cookbook,North America,Online,Returning,Crypto,728.96,7,15,4337.31,0,2.3,12
144,2025-09-21,Beauty,Foundation,Asia Pacific,Marketplace,Returning,Bank Transfer,844.67,11,5,8826.8,0,2.1,4
145,2025-08-03,Home & Garden,Sofa,North America,Mobile App,Churned,Buy Now Pay Later,376.16,6,15,1918.42,0,3.9,4
146,2025-09-12,Home & Garden,Blender,Middle East,Marketplace,Churned,Bank Transfer,39.65,13,25,386.59,0,1.9,6
147,2025-10-02,Electronics,Laptop,Asia Pacific,Marketplace,Churned,Bank Transfer,17.23,4,20,55.14,0,2.1,6
148,2025-10-15,Toys,Action Figure,North America,Marketplace,New,Buy Now Pay Later,296.01,18,10,4795.36,16,2.8,9
149,2025-07-21,Books,Biography,Middle East,Online,Returning,Credit Card,562.93,11,15,5263.4,0,1.8,9
150,2025-06-20,Toys,RC Car,North America,Online,New,PayPal,1206.93,17,25,15388.36,0,4.6,3
151,2025-06-03,Beauty,Mascara,Asia Pacific,In-Store,Churned,Buy Now Pay Later,892.62,17,25,11380.91,0,2.2,14
152,2025-06-07,Electronics,Tablet,Asia Pacific,Online,Churned,Buy Now Pay Later,1196.15,1,25,897.11,0,3.6,13
153,2025-11-19,Sports,Swim Goggles,North America,Marketplace,Returning,Buy Now Pay Later,1083.17,13,0,14081.21,0,2.0,10
154,2025-03-19,Clothing,Jeans,North America,Marketplace,Premium,Crypto,622.38,7,20,3485.33,0,3.4,8
155,2025-09-27,Electronics,Camera,Europe,In-Store,Premium,Crypto,568.35,6,25,2557.58,0,2.4,6
156,2025-10-13,Books,Biography,Latin America,In-Store,Returning,Bank Transfer,451.26,10,10,4061.34,0,3.8,8
157,2025-10-21,Beauty,Serum,Asia Pacific,Mobile App,Premium,Credit Card,1016.55,13,20,10572.12,0,4.8,13
158,2025-08-15,Home & Garden,Plant Pot,North America,Mobile App,New,Bank Transfer,985.68,16,5,14982.34,0,3.2,9
159,2025-12-09,Books,Self-Help Book,North America,In-Store,Returning,Credit Card,1358.25,8,5,10322.7,6,2.3,8
160,2025-12-01,Clothing,Suit,Europe,Online,Returning,Crypto,1402.87,16,25,16834.44,0,4.0,5
161,2025-01-20,Beauty,Perfume,North America,Online,Returning,Buy Now Pay Later,1370.28,6,20,6577.34,0,1.7,1
162,2025-06-02,Toys,Puzzle,Europe,Mobile App,New,Credit Card,854.1,4,15,2903.94,0,5.0,9
163,2025-02-27,Automotive,Dash Cam,Middle East,Marketplace,Premium,PayPal,499.37,15,10,6741.49,0,1.1,6
164,2025-09-21,Books,Biography,Europe,In-Store,Churned,Crypto,495.25,13,0,6438.25,0,1.6,6
165,2025-05-17,Sports,Yoga Mat,Asia Pacific,Marketplace,Returning,Crypto,1431.28,10,0,14312.8,0,2.4,4
166,2025-07-27,Electronics,Camera,North America,Marketplace,Premium,PayPal,1030.68,10,0,10306.8,0,4.8,6
167,2025-11-07,Sports,Dumbbells,Europe,Marketplace,Returning,Crypto,563.57,18,25,7608.19,0,4.2,14
168,2025-12-27,Sports,Dumbbells,Middle East,Online,Churned,Buy Now Pay Later,545.87,19,0,10371.53,17,4.6,4
169,2025-10-26,Home & Garden,Lamp,Asia Pacific,Marketplace,New,PayPal,735.8,17,25,9381.45,0,2.8,9
170,2025-01-12,Toys,Puzzle,Middle East,Online,Churned,Bank Transfer,596.94,1,5,567.09,0,1.2,6
171,2025-05-27,Clothing,Sneakers,North America,Online,Churned,Credit Card,616.26,5,20,2465.04,0,4.6,8
172,2025-04-02,Toys,Puzzle,North America,In-Store,Premium,Credit Card,1489.31,13,0,19361.03,0,1.9,1
173,2025-05-07,Electronics,Tablet,Latin America,Marketplace,Churned,PayPal,693.63,5,10,3121.34,0,4.5,13
174,2025-02-04,Clothing,T-Shirt,Latin America,Online,Returning,PayPal,155.84,2,25,233.76,0,3.8,1
175,2025-10-04,Sports,Swim Goggles,North America,Marketplace,Churned,PayPal,329.82,2,0,659.64,0,2.2,14
176,2025-03-15,Beauty,Mascara,Middle East,Mobile App,Returning,Bank Transfer,1478.61,17,5,23879.55,0,2.1,9
177,2025-11-26,Home & Garden,Curtains,Latin America,Marketplace,New,Bank Transfer,1008.66,17,15,14575.14,0,2.6,5
178,2025-06-03,Toys,Board Game,Middle East,Marketplace,Returning,PayPal,1287.02,5,25,4826.33,0,3.2,7
179,2025-11-28,Home & Garden,Blender,Europe,Mobile App,Returning,Bank Transfer,123.21,15,15,1570.93,11,4.3,1
180,2025-10-28,Books,Cookbook,Middle East,Online,New,PayPal,1087.84,18,5,18602.06,0,4.5,6
181,2025-05-05,Books,Fiction Novel,Europe,In-Store,New,Crypto,1044.96,7,20,5851.78,0,3.2,13
182,2025-07-04,Books,Cookbook,Latin America,Mobile App,Premium,Bank Transfer,771.66,16,25,9259.92,15,4.0,6
183,2025-04-24,Sports,Running Shoes,Asia Pacific,Marketplace,New,Buy Now Pay Later,1113.17,1,10,1001.85,0,3.3,12
184,2025-07-14,Toys,Action Figure,Europe,In-Store,Premium,PayPal,856.84,8,25,5141.04,0,4.8,6
185,2025-03-28,Books,Cookbook,Latin America,Marketplace,Returning,Bank Transfer,214.24,18,25,2892.24,0,4.6,11
186,2025-07-31,Electronics,Smart Watch,North America,Online,New,Credit Card,210.55,8,0,1684.4,0,1.0,9
187,2025-01-04,Automotive,Jump Starter,North America,Marketplace,Churned,Credit Card,800.66,14,0,11209.24,11,2.1,5
188,2025-09-26,Electronics,Smart Watch,Latin America,In-Store,New,Credit Card,227.6,7,10,1433.88,0,2.1,7
189,2025-06-03,Clothing,Dress,Latin America,Marketplace,Returning,PayPal,1027.64,3,0,3082.92,1,2.5,8
190,2025-08-11,Electronics,Camera,North America,In-Store,New,Crypto,969.14,11,0,10660.54,0,4.7,4
191,2025-02-08,Sports,Swim Goggles,Middle East,Marketplace,Premium,Credit Card,1028.22,9,0,9253.98,0,4.4,1
192,2025-03-25,Sports,Tennis Racket,Europe,Marketplace,New,Bank Transfer,848.12,19,20,12891.42,0,3.2,7
193,2025-08-12,Home & Garden,Curtains,North America,Mobile App,New,Credit Card,352.06,3,15,897.75,0,3.5,10
194,2025-04-27,Toys,Action Figure,North America,Mobile App,Churned,Crypto,536.94,13,20,5584.18,0,3.3,7
195,2025-05-18,Clothing,Sneakers,Asia Pacific,In-Store,New,Credit Card,235.56,5,20,942.24,0,1.4,1
196,2025-02-14,Books,Cookbook,Asia Pacific,Mobile App,New,PayPal,285.15,15,20,3421.8,0,1.4,9
197,2025-05-30,Clothing,Sneakers,Middle East,Mobile App,Churned,Credit Card,623.65,3,5,1777.4,0,1.7,7
198,2025-03-16,Home & Garden,Lamp,Asia Pacific,Mobile App,Premium,Crypto,99.58,14,10,1254.71,0,2.9,2
199,2025-02-24,Beauty,Perfume,Europe,Marketplace,Returning,Crypto,207.56,1,20,166.05,0,3.5,13
200,2025-06-14,Beauty,Serum,Asia Pacific,Marketplace,Returning,Bank Transfer,906.8,7,25,4760.7,0,4.9,6
201,2025-05-24,Books,Comic Book,Latin America,In-Store,Premium,Crypto,1225.66,13,15,13543.54,0,3.3,10
202,2025-08-13,Home & Garden,Curtains,Middle East,Online,Churned,PayPal,1197.54,3,20,2874.1,0,1.6,5
203,2025-08-18,Sports,Running Shoes,Europe,Marketplace,Churned,Credit Card,1486.1,16,20,19022.08,0,4.7,14
204,2025-05-08,Toys,RC Car,North America,Mobile App,New,Credit Card,988.11,12,0,11857.32,0,1.2,11
205,2025-05-13,Toys,Action Figure,Latin America,Online,New,Credit Card,336.89,17,5,5440.77,0,2.6,13
206,2025-08-01,Home & Garden,Plant Pot,North America,Marketplace,New,Bank Transfer,1381.22,3,0,4143.66,0,3.9,6
207,2025-09-01,Books,Textbook,Latin America,In-Store,Churned,Bank Transfer,150.95,15,15,1924.61,0,4.2,2
208,2025-03-31,Electronics,Tablet,North America,In-Store,Returning,Buy Now Pay Later,830.11,11,20,7304.97,0,1.9,7
209,2025-04-12,Home & Garden,Lamp,Latin America,Marketplace,New,Buy Now Pay Later,677.11,14,20,7583.63,3,1.8,13
210,2025-04-11,Clothing,Sneakers,North America,In-Store,Premium,Bank Transfer,689.04,9,25,4651.02,0,3.6,10
211,2025-08-23,Toys,RC Car,Latin America,Online,Premium,Bank Transfer,927.96,10,0,9279.6,0,2.3,4
212,2025-07-18,Books,Fiction Novel,Europe,Mobile App,Returning,Buy Now Pay Later,630.27,5,20,2521.08,0,2.9,9
213,2025-04-06,Home & Garden,Mattress,Europe,Marketplace,Premium,PayPal,475.3,15,0,7129.5,0,4.8,8
214,2025-08-01,Home & Garden,Lamp,Latin America,Marketplace,Churned,Crypto,1066.66,15,25,11999.93,0,3.3,13
215,2025-05-28,Sports,Running Shoes,North America,Mobile App,Returning,Buy Now Pay Later,256.47,15,25,2885.29,0,1.5,2
216,2025-04-22,Books,Biography,Asia Pacific,Online,Churned,Buy Now Pay Later,1484.71,4,5,5641.9,0,5.0,8
217,2025-04-18,Books,Textbook,North America,Marketplace,New,PayPal,1217.0,19,15,19654.55,0,3.4,7
218,2025-10-19,Home & Garden,Mattress,Europe,In-Store,Returning,Credit Card,529.47,9,0,4765.23,0,3.8,5
219,2025-05-22,Books,Biography,North America,In-Store,Churned,Credit Card,1301.24,5,0,6506.2,0,3.8,14
220,2025-11-20,Sports,Swim Goggles,Latin America,Marketplace,Returning,Buy Now Pay Later,406.73,14,20,4555.38,0,3.5,13
221,2025-09-07,Clothing,Jacket,Middle East,Mobile App,Premium,Crypto,494.3,1,0,494.3,0,2.8,11
222,2025-04-19,Beauty,Moisturizer,Middle East,Marketplace,Returning,Crypto,744.6,11,10,7371.54,0,3.3,10
223,2025-01-09,Automotive,Jump Starter,North America,Online,New,Crypto,190.73,6,25,858.28,0,5.0,7
224,2025-02-17,Sports,Swim Goggles,Europe,Mobile App,Returning,Bank Transfer,983.61,9,0,8852.49,0,4.6,3
225,2025-12-27,Electronics,Headphones,Asia Pacific,In-Store,Churned,Credit Card,147.3,7,25,773.33,4,1.9,11
226,2025-12-22,Automotive,Car Mat,North America,Mobile App,New,Crypto,202.6,3,5,577.41,0,3.9,2
227,2025-03-10,Clothing,Dress,Asia Pacific,Mobile App,Returning,Crypto,964.16,5,0,4820.8,0,1.0,11
